State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
West Virginia,2014,0.455,76.84716339,20.6,24,1850326,24078,302,4,3.14,27.3,15.4,35.2,235.5,0,0,0,11.74,19.42,60.45,0,0,3670,198.3434271,14,29,21.5,3.2,1.3,43,41,1.78,43,84.4,18.7,547063,29565.76301,2.48,9,48.72,39,2,38.5,51.8,42.6,79.2,36.8,0.414,233814,12.63636786,41.6,5,1,1,0,0,0,0.96
Wisconsin,2014,0.44,106.0129626,10.9,17,5757564,54310,290.3,2.9,2.1,29.1,20.3,88,170.4,2,0.03473691304,1,6.11,13.35,45.77,1,0.01736845652,12776,221.8994005,35,35,35,6.2,6.2,42,42,2.97,35,90.8,27.4,2736588,47530.30969,1.88,7,70.15,22,6,69.8,57.8,47.6,48.6,35.7,0.395,191028,3.317861512,39.4,4,0,0,0,1,0,0.93
Wyoming,2014,0.427,6.015993821,9.7,44,584153,97100,195.5,2.7,0,29.8,21.6,9.1,153.9,0,0,0,13.35,20.54,65.00,0,0,1322,226.3105727,2,1,1.5,1,9.4,57,25,2.72,29,92.3,25.1,169558,29026.29962,5.62,9,64.76,27,6,46,40.7,42.4,46.1,42.4,0.348,47854,8.192031882,51.4,1,1,0,0,0,1,1.05
Alabama,2013,0.475,95.26241526,18.7,24,4833996,50744,431,7.2,6.56,42.5,30,96.1,285.2,2,0.04137363788,1,10.43,14.93,69.86,0,0,9492,196.3592854,9,16,12.5,26.3,3.9,52,35,1.99,38.67,83.1,22.6,573139,11856.42272,0.78,9,59.04,49,7,55.5,52.7,55.5,48.7,42.7,0.439,674196,13.94697058,44.7,8,1,1,0,0,0,1.098
Alaska,2013,0.408,1.289024759,9.3,49,737259,571951,638.7,4.6,2.58,125.5,89.1,84.5,424.1,0,0,0,16.27,23.19,70.16,1,0.1356375439,1312,177.9564576,4,5,4.5,3.5,5.9,39,32,2.75,17.67,91.6,27.5,243524,33030.99725,0.33,10,66.02,22,5,50,50,50,50,50,0.382,27706,3.757973792,43.1,1,0,0,0,0,1,2.29
Arizona,2013,0.468,58.38867426,18.6,50,6634997,113635,415.6,5.4,3.82,47.8,35.3,100.3,262.1,4,0.06028638747,1,9.88,17.54,56.33,0,0,11955,180.1809405,3,13,8,4.2,29.9,40,39,2.35,50.33,85.7,26.9,381890,5755.692128,1.2,8,89.81,26,5,50.6,46.6,58.4,38.1,54.7,0.398,319017,4.808095618,36,5,1,0,0,0,1,1.38
Arkansas,2013,0.469,56.82501729,19.7,34,2958765,52068,463.2,5.3,5.14,50.4,38.4,76.4,331.1,0,0,0,10.89,17.44,62.44,0,0,5893,199.1709379,32,22,27,15.5,6.6,46,38,1.81,43.67,83.7,20.1,377526,12759.58043,1.42,8,56.16,46,7,49.9,52.7,41,56.2,40.3,0.411,320628,10.83654836,45.2,7,1,1,0,0,0,0.93
California,2013,0.49,246.4198475,16.8,1,38431393,155959,402.6,4.5,3.42,26.9,19.4,139.6,231.7,37,0.09627545897,1,4.09,10.48,39.03,6,0.01561223659,76912,200.1280568,49,46,47.5,6,37.9,30,49,2.32,25.00,81.2,30.7,817675,2127.622592,0.37,5,94.95,20,1,51.4,49,43.2,39.1,65,0.392,941696,2.450330125,30.8,3,1,0,0,0,1,0.97
Colorado,2013,0.461,50.83096473,13,15,5272086,103718,305.4,3.3,2.01,56.2,41.7,59.5,186.4,2,0.03793564824,1,9.28,19.1,48.59,1,0.01896782412,11981,227.2535008,13,29,21,4,20.8,41,42,2.81,24.00,90.2,37,423270,8028.510916,1.64,8,86.15,26,4,45.3,47.5,58.8,34.3,57.9,0.358,241752,4.585509417,36.9,4,1,0,0,0,1,1.22
Connecticut,2013,0.499,742.8980392,10.7,2,3599341,4845,262.2,2.5,1.83,24.8,18,98.7,136.3,3,0.08334859076,1,2.56,9.17,27.92,0,0,8517,236.6266492,43,45,44,10.1,13.9,32,50,2.37,26.01,89.2,36.5,122995,3417.153307,0.37,6,87.99,13,1,57.6,38.6,34.2,53.4,53.9,0.416,104980,2.916645019,27.4,4,0,0,1,0,0,0.76
